all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 435       , 	[0.0, 0.2],		[5.0, 7.0],		[-0.00945858284831047, 5.9598114603431895e-05, 0.009630043990910053]
Jpsi   , 10, 10, 8750      , 	[0.0, 0.2],		[5.0, 7.0],		[-0.014860251918435097, -0.002801640424877405, -0.0017513222992420194, -0.0010615368373692038, -0.0005121033755131067, 8.273163984995334e-07, 0.0005197060527279973, 0.0010751837398856876, 0.0017781805945560336, 0.0028544587548822165, 0.01496229041367769]
DY+Jpsi, 10, 10, 8837      , 	[0.0, 0.2],		[5.0, 7.0],		[-0.014860251918435097, -0.0028026609215885396, -0.001751507632434368, -0.0010614133207127454, -0.0005114614614285529, 1.5843874052734463e-06, 0.0005209855735301971, 0.0010769828222692013, 0.0017797610489651559, 0.002855630125850439, 0.01496229041367769]
DY     , 2 , 10, 2701      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.014701645821332932, -2.4000368284760043e-05, 0.012628423981368542]
Jpsi   , 10, 10, 7153      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.01473201531916857, -0.002483098767697811, -0.0015559790190309286, -0.0009519050945527852, -0.0004455664311535657, 2.029267852776684e-05, 0.00047823865315876907, 0.0009781740373000505, 0.001594162080436945, 0.002538177650421858, 0.014825271442532541]
DY+Jpsi, 10, 10, 7694      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.01473201531916857, -0.002482439624145627, -0.0015577442245557904, -0.0009534828132018447, -0.00044827267993241554, 1.5365087165264413e-05, 0.00047488999553024763, 0.0009738788940012457, 0.0015883890446275473, 0.002529331482946873, 0.014825271442532541]
DY     , 10, 10, 2532      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.01352017093449831, -0.002214496722444892, -0.0013877723831683397, -0.0008628952782601118, -0.0004224154690746218, -9.427509212400764e-06, 0.0004111951566301286, 0.0008390008006244898, 0.0013555590994656086, 0.0021399850957095623, 0.012139186263084412]
Jpsi   , 10, 10, 3976      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.013805968686938286, -0.0022214236669242378, -0.001409331802278757, -0.0008667809306643902, -0.0004162506083957851, -6.484606274170801e-07, 0.00042055916856043035, 0.0008709302637726067, 0.001425305614247918, 0.002237752778455615, 0.014508932828903197]
DY+Jpsi, 10, 10, 6508      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.013805968686938286, -0.002219203393906355, -0.0013991902815178037, -0.0008650891249999403, -0.0004179712559562177, -2.9837299280188745e-06, 0.00041534690535627306, 0.000858164974488318, 0.0013987993588671088, 0.002203939948230982, 0.014508932828903197]
DY     , 10, 10, 12038     , 	[0.0, 0.2],		[14.0, 20.0],		[-0.014307078905403614, -0.0020247066859155893, -0.0013019569450989366, -0.0008082519634626806, -0.0003982303896918893, -1.8788845409289934e-05, 0.0003511799732223153, 0.0007562015089206398, 0.0012433328665792942, 0.001959993736818433, 0.014664939604699612]
